Quarter,Dept,Business area or arms length body,Contract Title and description,Supplier,KPI name and description,Good target,Rating,Can this KPI be published,Comments
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 8 Digital,QA LIMITED,Supplier must ensure the results of assignments provided within 4 weeks of submission date.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,HMT Public Spending,OSCAR II Application Development and Data Services (ADDS),LITTLE FISH (UK) LIMITED,Criticality Class A Application Availability,99.50%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Learning & Development Services xCS and OTS,KPMG LLP,Cumulative delegate evaluation scores show that course published objectives/outcomes were met.,80%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO COMMERCIAL,Corporate Provision of Contingent Labour and related services,ALEXANDER MANN SOLUTIONS LTD,The percentage of starters that remain in the role after 3 working days.,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO COMMERCIAL,GBNI - Provision of Public Sector Air Capability (NEWMAT PM-R),CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,Customer satisfaction regarding accuracy and timeliness of Invoicing,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,HMT Corporate Centre Group,CON137 TrIS Service Integration and Management,WIPRO HOLDINGS (UK) LIMITED,More than 90% of SIAM KPIs to be achieved.,90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Provision of Improvement Standard Apprenticeship Training and Related - Lot 1,CAPELLA ASSOCIATES LTD,Supplier must ensure to provide central contract MI Data by 5 Working Days with 100% accuracy.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO COMMERCIAL,Corporate Provision of Contingent Labour and related services,ALEXANDER MANN SOLUTIONS LTD,The average number of working days from requisition approval to the completion of candidate onboarding.,20 Days,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,COVID19 ESM Research Procurement,IPSOS MORI LTD,Meet milestones and provide timely deliverables as set out in Section 7 above.,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,HMT Public Spending,OSCAR II Application Development and Data Services (ADDS),LITTLE FISH (UK) LIMITED,% of P2 Incidents Resolved,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Applicant Tracking System (ATS),OLEEO PLC,Solution availability,99.50%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Provision of Level 4 Project Delivery Apprenticeship Training & Related Services,QA LIMITED,Suppliers must ensure Apprentices are enrolled and their records must be visible on the Authority Service Recipients (employers) Digital Apprenticeship Service (DAS) account within 2 weeks of confirmed eligibility,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Learning & Development Services xCS and OTS,KPMG LLP,"Resolution of enquiries to Customer's and/or Buyer's satisfaction within 5 working days of receipt, where within their delivery area.",90%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Provision of a Digital Strategic Delivery Partner for Cabinet Office Digital,CGI IT UK LIMITED,A minimum of 33% of the total value of all Statements of Work issued under the C,33%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,PUBLIC SECTOR FRAUD AUTHORITY,National Fraud Initiative- Replacement,SYNECTICS SOLUTIONS LIMITED,Deployments to Live Delivery of all agreed deployment to live site (including Developments) within Agreed Timetable,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT COMMERCIAL FUNCTION (GCF - incl Grants),Provision of Support for Central Digital Platform,Goaco Group Ltd,Services are available for users,99%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT COMMERCIAL FUNCTION (GCF - incl Grants),Provision of Support for Central Digital Platform,Goaco Group Ltd,Initial response for P1 to P4 incidents where a part of the software or infrastructure was previously working and is not working as expected or at all within the agreed contractual SLA.,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Provision of Improvement Standard Apprenticeship Training and Related - Lot 1,CAPELLA ASSOCIATES LTD,Supplier must ensure the results of assignments provided within 4 weeks of submission date.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,STRATEGY FINANCE AND PERFORMANCE,ISSC2 Shared Services - call off order form,SHARED SERVICES CONNECTED LTD,HR Records: No of HR records created within required target,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Pension Administration Services Agreement (Royal Mail Statutory Pension Scheme),CAPITA BUSINESS SERVICES LTD,Retirement Settlement (Early and Normal) within the contracted timeframes (Active Dual Members).,98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Provision of a Digital Strategic Delivery Partner for Cabinet Office Digital,CGI IT UK LIMITED,Overall summary on the completion progress of all Statements of Work issued under the Contract,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 1 Operational Delivery,REALISE LEARNING AND EMPLOYMENT LIMITED,Suppliers must ensure Apprentices are enrolled and their records must be visible on the Authority Service Recipients (employers) Digital Apprenticeship Service (DAS) account within 2 weeks of confirmed eligibility,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO DIGITAL,Provision of a Digital Strategic Delivery Partner for Cabinet Office Digital,CGI IT UK LIMITED,"Supplier promotes positive collaborative working relationships, within and across teams in CO Digital and the wider CO. Including with third party suppliers by acting in a transparent manner. Suppliers show commitment to CO goals through adding value over",80%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,COVID19 ESM Research Procurement,IPSOS MORI LTD,The Supplier must acknowledge requests submitted by the Buyer within 1 working day.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 3 HR,BABINGTON BUSINESS COLLEGE LTD,Suppliers must ensure Apprentices are enrolled and their records must be visible on the Authority Service Recipients (employers) Digital Apprenticeship Service (DAS) account within 2 weeks of confirmed eligibility.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Provision of Improvement Standard Apprenticeship Training and Related - Lot 1,CAPELLA ASSOCIATES LTD,Suppliers must ensure Apprentices are enrolled and their records must be visible on the Authority Service Recipients (employers) Digital Apprenticeship Service (DAS) account within 2 weeks of confirmed eligibility.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 8 Digital,QA LIMITED,Supplier must ensure to provide central contract MI Data by 5 Working Days with 100% accuracy.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,COVID-19 INQUIRY,Provision of Solicitors for the UK COVID-19 Inquiry,BURGES SALMON LLP,"Requests from the Inquiry Secretariat Key Staff* labelled ?urgent? must be responded to by the Supplier within 2 working days from email receipt, or as agreed with the buyer.",98%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 3 HR,BABINGTON BUSINESS COLLEGE LTD,Supplier must ensure the results of assignments provided within 4 weeks of submission date.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,CO COMMERCIAL,GBNI - Provision of Public Sector Air Capability (NEWMAT PM-R),CORPORATE TRAVEL MANAGEMENT (NORTH) LTD,Achieve High Level of Customer Satisfaction,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,"Centralised CS L&D: Bespoke, Coaching & Subject Matter Experts [LF1.0 Lot6]",ERNST & YOUNG LLP,Cumulative delegate evaluation scores show that the course was of good quality overall,8,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Operational Surge Contract,CONEXIA LIMITED,The Supplier will only accept work commissions directly from the Buyer not from the Vacancy Holder or Department.,100%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Civil Service Central Apprenticeship Contract Lot 1 Operational Delivery,REALISE LEARNING AND EMPLOYMENT LIMITED,Supplier must ensure to provide central contract MI Data by 5 Working Days with 100% accuracy.,95%,Good,Yes,
FY25-26 Q4 Jan-Feb-Mar,CO,GOVERNMENT PEOPLE GROUP,Learning & Development Services xCS and OTS,KPMG LLP,Cumulative delegate evaluation scores to show that the course was good quality.,8,Good,Yes,
